,home_team_id,away_team_id,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,avg_attack_work_rate_difference,avg_defense_work_rate_difference,max_attack_work_rate_difference,max_defense_work_rate_difference,avg_home_players_rating,avg_away_players_rating
384,264.0,265.0,4509.0,4616.0,2790.0,971.0,5767.0,6379.0,3941.0,,,4605.0,6788.0,8368.0,1969.0,8708.0,4723.0,6283.0,6837.0,7431.0,8308.0,2798.0,,,-16.444153672414544,-25.653694131954992,-16.483516483516496,0.0,61.17168314777011,62.51642274063222
385,48.0,,596.0,6723.0,6037.0,477.0,1974.0,614.0,3027.0,9108.0,7117.0,4818.0,8696.0,5261.0,2297.0,,608.0,5188.0,360.0,,,7236.0,5630.0,,20.701815446421747,13.714347180878612,0.0,0.0,68.73984942260805,60.532010484444555
386,60.0,73.0,2751.0,3131.0,6004.0,2847.0,8113.0,6253.0,1841.0,6399.0,1922.0,442.0,1641.0,2891.0,8287.0,2939.0,7054.0,7537.0,8279.0,4494.0,1017.0,2854.0,5105.0,,3.134241554449048,5.01844924399272,70.3125,44.64285714285714,65.81727922933456,68.98059487304141
387,137.0,160.0,9169.0,7673.0,5607.0,5639.0,4883.0,34.0,6189.0,3134.0,,3765.0,,3968.0,6297.0,,,,,5403.0,,7816.0,5007.0,8217.0,19.81474407944996,-0.773491214667672,116.1764705882353,-60.29411764705881,62.20310245310245,55.23737373737374
388,232.0,39.0,5296.0,9034.0,2710.0,4712.0,3292.0,5127.0,1406.0,,9413.0,2295.0,5360.0,3094.0,7361.0,,1463.0,1481.0,,3682.0,,745.0,8402.0,7357.0,34.58120226629353,24.42421113028989,59.52380952380952,-32.60869565217391,67.78880804657126,64.37982201493037
389,184.0,,4362.0,4208.0,5690.0,1261.0,2340.0,6094.0,4425.0,3715.0,8040.0,6039.0,,4714.0,4866.0,4435.0,,1094.0,3859.0,,1331.0,4400.0,1098.0,5727.0,4.618298368298383,-23.39876033057851,0.0,-113.63636363636364,59.199214169668714,57.39020979020979
390,194.0,87.0,3024.0,5411.0,8223.0,8560.0,8649.0,8691.0,3369.0,6672.0,,5933.0,3096.0,,5982.0,,6070.0,3242.0,4238.0,2084.0,,,6223.0,,6.066919191919197,26.614357864357856,0.0,89.28571428571429,64.687188057041,59.356635788453964
391,119.0,130.0,9327.0,9130.0,4546.0,,7234.0,8503.0,1468.0,6692.0,3149.0,4136.0,1292.0,3752.0,,6020.0,9204.0,9082.0,9152.0,6777.0,,8317.0,5673.0,9218.0,41.0162480063796,11.851709453647956,109.375,119.31818181818181,64.16588532491994,57.7064738292011
392,76.0,,949.0,,2957.0,6177.0,,,,6424.0,8048.0,6585.0,2720.0,5261.0,2297.0,2290.0,,5188.0,,2213.0,360.0,7236.0,9139.0,5630.0,-25.138303389077365,-3.3667316515613805,-55.55555555555554,-38.46153846153845,64.5953759934023,64.57383206156024
393,114.0,,5359.0,9102.0,,524.0,6040.0,3307.0,6406.0,916.0,722.0,4339.0,6076.0,2046.0,,8418.0,3299.0,,,374.0,1561.0,,5386.0,,-8.17912093066893,8.812271320011256,-59.21052631578948,19.117647058823536,65.91390201567516,61.20852811111395
394,270.0,256.0,7420.0,1242.0,8450.0,3816.0,1510.0,7696.0,,3185.0,3966.0,1403.0,7768.0,4804.0,9135.0,3814.0,5042.0,885.0,5342.0,3482.0,7048.0,4235.0,6242.0,,10.68097240346043,23.650034176349976,27.77777777777777,41.66666666666666,69.02484491491246,64.73892978366662
